age,gender,weight,height,activity_level,goal,preferences,calorie_needs,day,meal_type,meal_name,ingredients,calories
40,Female,60,165,Sedentary,Weight Gain,No Dairy,1500,1,Dinner,Avocado Toast,"Shrimp, corn tortillas, slaw, salsa",300
30,Male,95,150,Sedentary,Weight Gain,Low Carb,1600,2,Lunch,Vegetable Stir Fry,"Turkey, lettuce, avocado, salsa",400
35,Female,60,180,Active,Weight Gain,Low Carb,1800,1,Lunch,Salmon Salad,"Turkey, lettuce, avocado, salsa",400
50,Male,65,160,Moderate,Maintenance,No Dairy,1200,1,Breakfast,Avocado Toast,"Steak, roasted sweet potato, green beans",500
50,Male,95,160,Moderate,Maintenance,High Protein,1200,1,Lunch,Zucchini Noodles with Pesto,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",550
35,Male,75,175,Sedentary,Weight Gain,No Dairy,1600,1,Dinner,Eggs and Bacon,"Quinoa, black beans, corn, avocado, lime dressing",850
50,Female,65,150,Moderate,Weight Gain,High Protein,1500,2,Dinner,Zucchini Noodles with Pesto,"Chicken breast, mixed greens, balsamic vinaigrette",700
50,Male,70,175,Moderate,Weight Loss,High Protein,1200,1,Lunch,Steak and Sweet Potato,"Eggs, cheese, spinach, mushrooms",750
35,Male,60,170,Active,Maintenance,No Dairy,1200,2,Breakfast,Pasta with Meat Sauce,"Shrimp, corn tortillas, slaw, salsa",500
50,Female,75,170,Active,Weight Loss,High Protein,1400,2,Lunch,Eggs and Bacon,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",300
50,Female,65,165,Moderate,Maintenance,No Gluten,1200,1,Dinner,Grilled Chicken Salad,"Chicken breast, sweet potatoes, asparagus",550
25,Male,50,175,Moderate,Weight Gain,No Dairy,1600,1,Dinner,Caprese Salad,"Beans, tomatoes, peppers, onions, spices",600
50,Female,85,180,Moderate,Weight Loss,Low Carb,1600,2,Breakfast,Chicken Burrito Bowl,"Salmon, steamed broccoli, quinoa",850
40,Female,50,175,Sedentary,Weight Loss,No Dairy,1500,1,Breakfast,Green Smoothie,"Spinach, kale, banana, almond milk",650
25,Female,50,165,Sedentary,Maintenance,No Gluten,1200,1,Breakfast,Baked Chicken,"Turkey, lettuce, avocado, salsa",600
30,Female,65,185,Active,Weight Gain,Low Carb,1500,2,Breakfast,Caprese Salad,"Whole wheat wrap, turkey, avocado, lettuce, tomato",300
30,Male,75,160,Sedentary,Maintenance,High Protein,1400,1,Lunch,Pasta with Meat Sauce,"Eggs, cheese, spinach, mushrooms",850
30,Male,80,185,Sedentary,Maintenance,High Protein,1500,2,Lunch,Caesar Salad,"Zucchini noodles, pesto, grilled shrimp",350
40,Female,85,165,Active,Weight Gain,No Dairy,1400,2,Dinner,Baked Salmon,"Chicken breast, sweet potatoes, asparagus",550
25,Female,55,180,Sedentary,Weight Gain,No Gluten,1500,2,Breakfast,Lentil Soup,"Steak, roasted sweet potato, green beans",250
25,Female,50,175,Sedentary,Weight Gain,High Protein,1500,1,Dinner,Caesar Salad,"Steak, roasted sweet potato, green beans",350
25,Male,75,155,Active,Weight Gain,Vegetarian,1800,1,Breakfast,Grilled Salmon,"Whole grain pancakes, peanut butter, banana",500
30,Female,65,165,Moderate,Maintenance,No Gluten,1600,2,Lunch,Pasta with Meat Sauce,"Zucchini noodles, pesto, grilled shrimp",450
35,Male,85,175,Active,Weight Gain,Vegetarian,1400,1,Breakfast,Pasta with Meat Sauce,"Mixed greens, salmon, avocado, cucumber, olive oil dressing",450
40,Female,60,185,Sedentary,Weight Loss,Low Carb,1500,2,Lunch,Steak and Sweet Potato,"Scrambled eggs, turkey bacon, avocado",350
50,Female,70,165,Sedentary,Maintenance,No Gluten,1200,2,Dinner,Baked Salmon,"Salmon, steamed broccoli, quinoa",600
30,Female,95,160,Active,Weight Gain,Vegetarian,1600,2,Dinner,Turkey Lettuce Wraps,"Broccoli, carrots, tofu, soy sauce, brown rice",450
25,Male,85,185,Moderate,Weight Loss,No Gluten,1400,2,Dinner,Grilled Vegetable Salad,"Banana, strawberries, chia seeds",600
50,Male,55,175,Moderate,Maintenance,No Gluten,1200,2,Lunch,Eggs and Bacon,"Banana, strawberries, chia seeds",750
30,Male,95,175,Moderate,Maintenance,Vegetarian,1600,2,Breakfast,Smoothie Bowl,"Spinach, kale, banana, almond milk",650
25,Male,80,155,Sedentary,Weight Gain,No Gluten,1200,2,Lunch,Grilled Vegetable Salad,"Whole wheat wrap, turkey, avocado, lettuce, tomato",500
30,Female,95,185,Sedentary,Maintenance,No Dairy,1400,1,Breakfast,Quinoa Bowl,"Tomatoes, mozzarella, basil, olive oil, balsamic glaze",800
35,Male,95,185,Moderate,Weight Loss,Low Carb,1600,1,Breakfast,Grilled Chicken and Veggies,"Chicken breast, sweet potatoes, asparagus",400
35,Male,55,150,Active,Weight Loss,No Dairy,1800,1,Lunch,Pasta with Meat Sauce,"Brown rice, grilled chicken, black beans, salsa, guacamole",550
25,Female,55,170,Active,Weight Loss,High Protein,1400,2,Breakfast,Grilled Salmon,"Turkey, lettuce, avocado, salsa",350
40,Female,75,150,Active,Maintenance,No Gluten,1800,2,Breakfast,Zucchini Noodles with Pesto,"Whole wheat bread, scrambled eggs, spinach, cheese",450
40,Male,90,165,Active,Maintenance,No Gluten,1600,2,Lunch,Yogurt Parfait,"Whole grain pasta, ground beef, tomato sauce, Parmesan",600
25,Female,75,165,Active,Weight Gain,Vegetarian,1800,2,Dinner,Vegetable Stir Fry,"Spinach, kale, banana, almond milk",850
40,Female,85,185,Moderate,Weight Loss,No Dairy,1200,1,Breakfast,Grilled Vegetable Salad,"Turkey, lettuce, avocado, salsa",250
30,Female,60,165,Active,Weight Loss,Low Carb,1600,2,Dinner,Eggs and Bacon,"Whole grain pasta, ground beef, tomato sauce, Parmesan",450
30,Male,80,175,Moderate,Maintenance,Low Carb,1800,2,Dinner,Grilled Shrimp Tacos,"Eggs, cheese, spinach, mushrooms",400
25,Female,55,165,Active,Weight Gain,High Protein,1800,2,Dinner,Salmon Salad,"Whole wheat wrap, turkey, avocado, lettuce, tomato",850
25,Male,65,160,Active,Maintenance,High Protein,1800,2,Breakfast,Smoothie Bowl,"Greek yogurt, granola, mixed berries",850
25,Female,90,165,Sedentary,Maintenance,High Protein,1200,1,Lunch,Grilled Vegetable Salad,"Whole grain pasta, ground beef, tomato sauce, Parmesan",650
25,Female,85,185,Active,Weight Loss,Low Carb,1800,2,Dinner,Quinoa Bowl,"Lentils, carrots, onions, celery, vegetable broth",700
30,Male,80,155,Active,Weight Gain,No Dairy,1400,1,Breakfast,Grilled Chicken Salad,"Broccoli, carrots, tofu, soy sauce, brown rice",350
30,Female,85,165,Moderate,Maintenance,Vegetarian,1400,2,Dinner,Egg Sandwich,"Whole grain pasta, ground beef, tomato sauce, Parmesan",300
40,Female,55,175,Moderate,Weight Loss,No Dairy,1600,2,Dinner,Vegetable Stir Fry,"Oats, almond milk, blueberries",750
50,Male,85,150,Moderate,Maintenance,Low Carb,1600,2,Breakfast,Quinoa Bowl,"Whole grain pasta, ground beef, tomato sauce, Parmesan",650
50,Male,80,150,Sedentary,Maintenance,No Gluten,1800,1,Breakfast,Grilled Salmon,"Zucchini noodles, pesto, grilled shrimp",700
35,Female,65,185,Sedentary,Maintenance,Vegetarian,1400,1,Lunch,Grilled Chicken and Veggies,"Oats, almond milk, blueberries",300
40,Male,95,150,Sedentary,Maintenance,No Dairy,1200,2,Dinner,Caprese Salad,"Beans, tomatoes, peppers, onions, spices",850
40,Female,90,160,Moderate,Weight Gain,No Gluten,1400,1,Dinner,Oatmeal Bowl,"Beans, tomatoes, peppers, onions, spices",800
30,Female,55,170,Moderate,Weight Gain,Vegetarian,1800,2,Lunch,Pasta with Meat Sauce,"Turkey, lettuce, avocado, salsa",300
40,Female,65,150,Sedentary,Weight Gain,No Dairy,1500,1,Dinner,Avocado Toast,"Chicken breast, roasted zucchini, bell peppers",800
50,Female,55,180,Active,Weight Loss,Vegetarian,1800,2,Breakfast,Caesar Salad,"Whole grain pancakes, peanut butter, banana",650
35,Male,50,180,Moderate,Maintenance,Low Carb,1500,2,Dinner,Grilled Salmon,"Turkey, lettuce, avocado, salsa",850
25,Male,95,150,Sedentary,Weight Loss,High Protein,1600,2,Breakfast,Turkey and Avocado Wrap,"Zucchini noodles, pesto, grilled shrimp",550
30,Female,80,180,Active,Weight Loss,High Protein,1400,2,Breakfast,Eggs and Bacon,"Whole grain pancakes, peanut butter, banana",300
50,Female,65,180,Active,Weight Loss,Low Carb,1600,1,Breakfast,Oatmeal Bowl,"Romaine lettuce, grilled chicken, Caesar dressing, Parmesan",800
50,Male,85,160,Moderate,Weight Loss,Low Carb,1600,2,Dinner,Quinoa Bowl,"Chicken breast, mixed greens, balsamic vinaigrette",650
40,Male,65,170,Sedentary,Weight Loss,No Dairy,1600,1,Breakfast,Lentil Soup,"Salmon, asparagus, wild rice",300
25,Male,75,155,Active,Weight Gain,High Protein,1400,1,Dinner,Steak and Sweet Potato,"Quinoa, black beans, corn, avocado, lime dressing",450
35,Female,50,160,Active,Weight Loss,Low Carb,1800,1,Breakfast,Vegetarian Chili,"Whole wheat wrap, turkey, avocado, lettuce, tomato",450
25,Male,50,160,Moderate,Maintenance,Low Carb,1600,2,Lunch,Pancakes with Peanut Butter,"Whole wheat wrap, turkey, avocado, lettuce, tomato",300
30,Male,85,180,Active,Maintenance,No Dairy,1400,2,Breakfast,Turkey and Avocado Wrap,"Shrimp, corn tortillas, slaw, salsa",600
50,Female,95,185,Active,Weight Gain,No Dairy,1800,2,Dinner,Cheese Omelette,"Scrambled eggs, turkey bacon, avocado",700
35,Male,85,155,Active,Weight Loss,Vegetarian,1500,1,Breakfast,Egg and Veggie Scramble,"Whole grain pancakes, peanut butter, banana",750
50,Male,65,180,Sedentary,Weight Gain,High Protein,1400,1,Lunch,Caprese Salad,"Whole wheat bread, scrambled eggs, spinach, cheese",450
